"LAND.USE.LEVEL1" "latitude_decimals" "longitude_decimal" "elevation.Meters." "DistanceFromUrbanCenter" "POP_DENSITY" "INCOME_PER_CAPITA" "VegCover" "NO3.N" "pH" "conductivity"
"1" 1 33.8525426762598 -111.842519470545 749.855410443263 54373.360842963 40.796875946036 70984.0042080098 9.81770437872347 -14.5831417650886 8 494.550323213097
"2" 2 33.8943537402514 -112.058310840525 635.109062328009 52046.1307134815 38.7201677846529 33177.8242523888 94.5379787429379 2.91130117466515 8 -166.547809320536
"3" 2 33.8267743620118 -112.058063611256 549.243993867832 35936.0760288452 200.568296144499 28029.3476175845 26.0168970701919 -19.1808403912756 8 81.638575415745
"4" 2 33.863402916628 -111.969357006788 562.4456013243 45891.3351157153 -908.542653103222 25883.689995397 45.0841922490573 43.1648671758823 7 603.025854332113
"5" 7 33.8237434252169 -112.452512139356 589.653461790025 56513.4887427202 77.7767560737786 32385.3324109325 39.6797458965872 -28.8597069286833 8 -22.2077359812388
"6" 2 33.8453120412089 -112.631073882839 539.046999785345 62896.0857065369 422.345957878271 25294.669729608 53.7252366804129 -7.78986462625366 7 1032.98432811953
"7" 2 33.8124569922713 -112.307464839579 513.654686114171 47787.1213831846 -193.930482827314 17656.2099986581 11.0498929425267 0.0212301818452858 8 630.454395470746
"8" 2 33.7759420407497 -112.404541113478 524.477474476906 52171.4700260917 94.6692342356793 29780.1723246214 51.7533810458304 1.99060552852081 8 650.215971123634
"9" 2 33.8088477354918 -112.421082994905 528.849362514418 65625.6219227186 -263.001903306109 6870.41489100279 74.5066073816456 -3.84023062588294 7 -501.982690350903
"10" 2 33.7973060529345 -111.907685549177 541.36127062769 40271.0854378002 287.721753155177 22591.2312829069 46.1934864531002 25.7112844408508 8 221.131542718827
"11" 2 33.8013517592859 -112.31897340564 471.364259199496 39699.6353511742 124.378354479338 20805.870134134 13.0243221072151 -32.473390543963 8 451.552484600291
